c1,c2,c1_wins,c2_wins,total_games
Chrom,Dark_Samus,0,0,0
Chrom,Diddy_Kong,0,0,0
Chrom,Donkey_Kong,0,2,2
Chrom,Dr_Mario,0,0,0
Chrom,Duck_Hunt,2,0,2
Chrom,Falco,0,0,0
Chrom,Fox,7,9,16
Chrom,Ganondorf,0,0,0
Chrom,Greninja,2,5,7
Chrom,Hero,0,0,0
Chrom,Ice_Climbers,0,0,0
Chrom,Ike,5,0,5
Chrom,Incineroar,0,1,1
Chrom,Inkling,6,2,8
Chrom,Isabelle,0,0,0
Chrom,Jigglypuff,0,0,0
Chrom,Joker,3,6,9
Chrom,Ken,0,0,0
Chrom,King_Dedede,0,0,0
Chrom,King_K_Rool,0,0,0
Chrom,Kirby,0,0,0
Chrom,Link,8,2,10
Chrom,Little_Mac,0,0,0
Chrom,Lucario,2,0,2
Chrom,Lucas,0,0,0
Chrom,Lucina,1,2,3
Chrom,Luigi,0,0,0
Chrom,Mario,1,0,1
Chrom,Marth,0,0,0
Chrom,Mega_Man,0,1,1
Chrom,Meta_Knight,0,0,0
Chrom,Mewtwo,0,0,0
Chrom,Mii_Brawler,0,0,0
Chrom,Mii_Gunner,3,1,4
Chrom,Mii_Swordfighter,0,0,0
Chrom,Mr_Game_&_Watch,5,0,5
Chrom,Ness,3,2,5
Chrom,Olimar,8,2,10
Chrom,Pac-Man,2,3,5
Chrom,Palutena,12,13,25
Chrom,Peach,9,14,23
Chrom,Pichu,10,9,19
Chrom,Pikachu,0,0,0
Chrom,Piranha_Plant,1,0,1
Chrom,Pit,0,0,0
Chrom,Pokemon_Trainer,3,3,6
Chrom,ROB,3,2,5
Chrom,Richter,0,0,0
Chrom,Ridley,0,0,0
Chrom,Robin,0,0,0
Chrom,Rosalina,5,3,8
Chrom,Roy,0,0,0
Chrom,Ryu,0,0,0
Chrom,Samus,3,6,9
Chrom,Sheik,0,0,0
Chrom,Shulk,0,0,0
Chrom,Simon,0,0,0
Chrom,Snake,6,5,11
Chrom,Sonic,1,1,2
Chrom,Terry,0,0,0
Chrom,Toon_Link,0,0,0
Chrom,Villager,0,0,0
Chrom,Wario,11,13,24
Chrom,Wii_Fit_Trainer,0,0,0
Chrom,Wolf,4,4,8
Chrom,Yoshi,3,3,6
Chrom,Young_Link,1,1,2
Chrom,Zelda,0,0,0
Chrom,Zero_Suit_Samus,1,5,6
Cloud,Corrin,0,0,0
Cloud,Daisy,1,3,4
Cloud,Dark_Pit,0,0,0
Cloud,Dark_Samus,0,0,0
Cloud,Diddy_Kong,0,0,0
Cloud,Donkey_Kong,0,0,0
Cloud,Dr_Mario,0,0,0
Cloud,Duck_Hunt,0,0,0
Cloud,Falco,0,0,0
Cloud,Fox,1,4,5
Cloud,Ganondorf,0,0,0
Cloud,Greninja,0,0,0
Cloud,Hero,0,0,0
Cloud,Ice_Climbers,0,0,0
Cloud,Ike,0,0,0
Cloud,Incineroar,0,0,0
Cloud,Inkling,0,0,0
Cloud,Isabelle,0,0,0
Cloud,Jigglypuff,0,0,0
Cloud,Joker,2,1,3
Cloud,Ken,0,0,0
Cloud,King_Dedede,0,0,0
Cloud,King_K_Rool,0,0,0
Cloud,Kirby,0,0,0
Cloud,Link,0,0,0
Cloud,Little_Mac,0,0,0
Cloud,Lucario,0,0,0
Cloud,Lucas,0,0,0
Cloud,Lucina,0,0,0
Cloud,Luigi,1,2,3
Cloud,Mario,5,3,8
Cloud,Marth,0,0,0
Cloud,Mega_Man,0,0,0
Cloud,Meta_Knight,0,0,0
Cloud,Mewtwo,0,0,0
Cloud,Mii_Brawler,0,0,0
Cloud,Mii_Gunner,0,0,0
Cloud,Mii_Swordfighter,0,0,0
Cloud,Mr_Game_&_Watch,0,2,2
Cloud,Ness,0,0,0
Cloud,Olimar,0,0,0
Cloud,Pac-Man,0,0,0
Cloud,Palutena,0,0,0
Cloud,Peach,2,0,2
Cloud,Pichu,0,1,1
Cloud,Pikachu,0,0,0
Cloud,Piranha_Plant,0,0,0
Cloud,Pit,0,0,0
Cloud,Pokemon_Trainer,0,0,0
Cloud,ROB,1,2,3
Cloud,Richter,0,0,0
Cloud,Ridley,0,0,0
Cloud,Robin,0,0,0
Cloud,Rosalina,0,0,0
Cloud,Roy,0,0,0
Cloud,Ryu,0,0,0
Cloud,Samus,0,2,2
Cloud,Sheik,0,0,0
Cloud,Shulk,2,0,2
Cloud,Simon,0,0,0
Cloud,Snake,0,5,5
Cloud,Sonic,0,0,0
Cloud,Terry,0,0,0
Cloud,Toon_Link,1,2,3
